city,name,address,rating,rating_count,new_column_1,new_column_2,new_column_3,new_column_4,new_column_5,new_column_6,new_column_7
"Central Jakarta city, Indonesia",waRkop aja!,"South Jakarta City, Jakarta, Indonesia",5.0,11.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop 212,"South Jakarta City, Jakarta, Indonesia",5.0,5.0,1,1,1,1,1,1,0
"Central Jakarta city, Indonesia",WARDAN warkop,Jl. Galur Jaya No.37b,4.5,2.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop ilham,"15, Jl. Taruna Raya No.6, RT.15/RW.3",4.5,2.0,1,1,0,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Mikita,"Jl. E No.1, RT.1/RW.3",4.9,31.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Raffael,"Jl. F No.12, RT.12/RW.4",4.8,9.0,0,1,1,1,1,1,1
"Central Jakarta city, Indonesia","Warkop Pande, Kemayoran","jln. Harapan Mulia 1 L152, RT.5/RW.3",5.0,2.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Purwanty,Indonesia,5.0,4.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop PJS,"West Jakarta City, Jakarta, Indonesia",4.1,8.0,1,1,1,1,0,1,1
"Central Jakarta city, Indonesia",Warkop Mardani,"Jl. Mardani Raya No.3, RT.3/RW.5",3.7,3.0,1,0,1,1,0,1,1
"Central Jakarta city, Indonesia",Warkop Orange Cafe,"DKI Jakarta, Jakarta, Indonesia",5.0,1.0,1,0,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Resik,Indonesia,4.2,9.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",warkop terhana putra,"rt4, Jl. Kebon Sirih Barat I Gg. 10, RT.8/RW.4",,,1,1,1,1,1,1,1
